Incident.day	Incident.month	Incident.year	Victim.injury	State	Location	Latitude	Longitude	Shark.common.name	Shark.length.m	Provoked.unprovoked	No.sharks	Victim.activity	Injury.location	Injury.severity	Victim.gender	Victim.age	Time.of.incident
29	12	1919	injured	QLD	bribie island	-27.08333333	153.45	wobbegong		provoked	1	swimming	leg	minor lacerations	male		
8	12	1919	fatal	NSW	"macleay river, pelican island"	-30.91666667	153.0166667	bull shark		unprovoked	1	swimming	"calf, foot"	major lacerations	male		
15	1	1920	fatal	NSW	throsby creek. newcastle	-32.9	151.75	bull shark		unprovoked	1	swimming	leg	major lacerations	male	12	
24	2	1920	uninjured	NSW	tuggerah lake entrance	-33.33333333	151.5	wobbegong		provoked	1	spearfishing	other: uninjured		male		
8	3	1920	injured	QLD	"townsville, cleveland bay"	-19.25	146.8166667	tiger shark		unprovoked	1	swimming	torso	major lacerations	male	20	1900
1	7	1920	injured	QLD	mackay (320km east)	-20.9	151.7166667	tiger shark		provoked	1	snorkelling	"arm, shoulder, torso"	major lacerations	male		
1	11	1920	injured	NSW	cape halke	-32.2	152.55	wobbegong		provoked	1	snorkelling	"arm, hand"	minor lacerations	male		
29	11	1920	injured	WA	"ocean beach, demark"	-35.01666667	117.3333333	wobbegong	1.2	unprovoked	1	other: standing in water	leg		male		2000
22	11	1920	injured	WA	"cottesloe beach, perth"	-31.98333333	115.7333333	wobbegong		unprovoked	1	other: standing in water	"leg, hand"		male		
1	12	1920	injured	QLD	howick island	-14.5	144.9166667			provoked	1	fishing	leg	minor lacerations	male		
1	12	1920	injured	NSW	lismore - wilsons river	-28.8	153.2666667	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
12	10	1921	injured	QLD	hinchinbrook island	-18.23333333	146.65	tiger shark		provoked	1	snorkelling	arm	major lacerations	male		
9	10	1921	fatal	QLD	"cairns, elford reef (26 miles east)"	-16.9	146.2333333	tiger shark		unprovoked	1	swimming	leg	major lacerations	male		
27	11	1921	fatal	QLD	"brisbane river, bulimba beach "	-27.43333333	153.15	bull shark		unprovoked	1	swimming	other: body not recovered		male	8	
27	11	1921	injured	QLD	"brisbane river, bulimba beach "	-27.43333333	153.15	bull shark		unprovoked	1	swimming	"leg, pelvic region"	minor lacerations	male		
11	12	1921	injured	QLD	fitzroy river	-23.38333333	150.55	bull shark		unprovoked	1	swimming	torso	minor lacerations	male		
12	1	1922	injured	NSW	"stockton beach, newcastle"	-32.85	151.8333333	white shark		unprovoked	1	swimming	thigh	minor lacerations	male		
15	1	1922	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked	4	swimming		major lacerations	male	54	
4	2	1922	fatal	NSW	"coogee beach, sydney"	-33.91666667	151.25	white shark		unprovoked	1	swimming	arm	major lacerations	male	19	1530
2	3	1922	fatal	NSW	"coogee beach, sydney"	-33.91666667	151.25	white shark	2.5	unprovoked	1	swimming	"hand, torso"	major lacerations	male	21	1100
5	12	1922	fatal	QLD	"maryborough, pialba beach"	-25.53333333	152.7	tiger shark	3.0	unprovoked	1	swimming	torso	major lacerations	male		
27	1	1923	fatal	WA	"swan river, claremont"	-31.96666667	115.7666667	bull shark		unprovoked	1	swimming	thigh	major lacerations	male	13	
7	1	1923	uninjured	NSW	"merewether beach, newcastle"	-32.93333333	151.75	white shark	3.2	provoked	1	swimming	other: uninjured		male		
18	3	1923	injured	QLD	"townsville, ross creek"	-19.23333333	146.8166667	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
22	5	1923	fatal	QLD	great barrier reef (townsville area)	-16.85	146.15	tiger shark		provoked	1	snorkelling	torso	major lacerations	male		
22	5	1923	injured	WA	"geraldton, southgate"	-28.81666667	114.6166667	wobbegong		provoked	1	fishing	foot	other: teeth marks	male		
29	6	1923	injured	QLD	townsville area (gbr)	-18.7	147.7666667	tiger shark		provoked	1	snorkelling		major lacerations	male		
16	6	1923	fatal	NSW	"bellambi, wollongong"	-34.35	150.9166667	white shark		unprovoked	3	swimming	other: body not recovered		male	50	
16	10	1923	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	arm	major lacerations	male		
24	11	1923	fatal	WA	condon creek - broome (area)	-20	119.35	tiger shark		provoked			other: body not recovered	major lacerations	male		
24	11	1923	fatal	WA	condon creek - broome (area)	-20	119.35	tiger shark		provoked			other: half of body recovered	major lacerations	male		
11	12	1923	injured	NSW	"tweed river, murwillumbah"	-28.31666667	153.4	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
19	1	1924	fatal	NSW	"parramatta river, camella, sydney"	-33.8	151.0166667	bull shark	3.2	unprovoked	1	swimming	"arm, torso, foot"	major lacerations	male		1600
9	2	1924	injured	WA	bunbury	-33.31666667	115.6333333	wobbegong	0.9	unprovoked	1	swimming	foot	minor lacerations	male		
13	2	1924	injured	NSW	"bronte beach, sydney"	-33.9	151.2666667	white shark		unprovoked	1	swimming	"leg, foot"	major lacerations	female	30	0700
25	4	1924	fatal	NSW	"kiama, wollongong"	-34.66666667	150.85	white shark		unprovoked		swimming		major lacerations	male	20	
18	10	1924	injured	VIC	"town pier, port melbourne"	-37.83333333	144.9333333	white shark	3.0	unprovoked	1	swimming	leg	major lacerations	male		
27	3	1925	injured	NSW	"coogee beach, sydney"	-33.91666667	151.25	white shark		unprovoked	1	swimming	leg	major lacerations	male	16	1700
12	3	1925	fatal	NSW	newcastle beach	-32.91666667	151.7833333	white shark	3.0	unprovoked	1	swimming	"arm, torso"	major lacerations	male	16	1530
22	11	1925	fatal	WA	"cottesloe beach, perth"	-31.98333333	115.75	tiger shark	4.0	unprovoked	1	swimming	"torso, leg"	major lacerations	male	55	
18	3	1926	fatal	SA	"brighton pier, adelaide"	-34.9	137	white shark	4.0	unprovoked	1	swimming	thigh	major lacerations	female		1600
23	10	1926	injured	NSW	"yamba, clarence river, maclean"	-29.45	153.1833333	bull shark		unprovoked	1	swimming			male		1600
17	11	1926	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	arm	minor lacerations	male		
2	12	1926	fatal	QLD	palm island	-18.71666667	146.5666667	tiger shark		provoked	1	snorkelling			male		
1	1	1927	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	"torso, shoulder"	minor lacerations	male		
3	1	1927	fatal	NSW	"greys point, port hacking"	-34.05	151.0833333	tiger shark	4.0	unprovoked	1	swimming	thigh	major lacerations	male	15	1130
9	2	1927	uninjured	QLD	brisbane river	-27.46666667	153.0333333	bull shark		unprovoked	1	swimming	other: uninjured		male		
1	3	1927	injured	NSW	"merewether beach, newcastle"	-32.93333333	151.75	white shark	3.0	unprovoked	1	swimming	"hand, pelvic region"	major lacerations	male	17	1500
8	4	1927	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark	1.8	provoked	1		leg	minor lacerations	male		
10	4	1927	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	leg	major lacerations	male		
1	5	1927	fatal	QLD	cairns (near)	-17.21666667	145.9666667	tiger shark		unprovoked	1	swimming	leg	major lacerations	male		
26	7	1927	uninjured	WA	broome (area)	-17.98333333	122.2333333	tiger shark		provoked	1	diving	other: uninjured		male		
27	1	1928	fatal	QLD	"deliverance island, torres strait"	-9.516666667	141.5666667	tiger shark		provoked			"arm, leg"	major lacerations	male		
20	2	1928	fatal	QLD	"barrow point, 100 km north of cooktown"	-14.15	144.5	tiger shark		provoked		snorkelling			male		
20	3	1928	injured	QLD	great barrier reef (bowen area)	-19.8	149.05	tiger shark		provoked	1	snorkelling	torso	minor lacerations	male		
6	4	1928	injured	QLD	"brisbane river, graceville"	-27.51666667	152.9833333	bull shark	1.2	unprovoked	1	swimming	leg	minor lacerations	male	15	
14	4	1928	injured	NSW	"bondi beach north, sydney"	-33.88333333	151.2666667	white shark		unprovoked	1	swimming	calf	major lacerations	male	19	1600
4	4	1928	fatal	NSW	"bar beach, newcastle"	-32.93333333	151.75	white shark		unprovoked	1	swimming	"hand, leg, torso"	major lacerations	male	27	1800
11	7	1928	injured	QLD	torres strait	-10.58333333	142.2166667	tiger shark		unprovoked		swimming	"arm, torso"	major lacerations	male		
21	12	1928	injured	QLD	torres strait	-10.58333333	142.2166667	tiger shark		provoked	1	snorkelling	"arm, hand"	major lacerations	male		
27	1	1929	fatal	QLD	"magnetic island, alma bay"	-19.13333333	146.8333333	tiger shark		unprovoked	1	swimming	"arm, torso"	major lacerations	male	18	1730
1	1	1929	injured	SA	adrossan beach	-34.41666667	137.9166667	wobbegong		provoked	1	fishing	leg	other: teeth marks	male		
12	1	1929	fatal	NSW	"bondi beach, sydney"	-33.88333333	151.2666667	white shark	4.9	unprovoked	1	swimming	thigh	major lacerations	male	14	1830
24	2	1929	injured	NSW	jervis bay	-35.03333333	150.7166667	wobbegong		provoked	1	snorkelling	foot	minor lacerations	male		
18	2	1929	fatal	NSW	"maroubra beach, sydney"	-33.93333333	151.25	white shark		unprovoked	1	swimming	"leg, hand"	major lacerations	male	19	1600
8	2	1929	fatal	NSW	"bondi beach, sydney"	-33.88333333	151.2666667	white shark		unprovoked	1	swimming	thigh	major lacerations	male	39	1600
10	2	1929	uninjured	SA	"glenelg, adelaide"	-34.96666667	138.5	white shark	3.6	unprovoked	1	unmotorised boating	other: uninjured		female		
26	3	1929	injured	QLD	bowen (gbr)	-19.51666667	148.8333333			provoked	1	snorkelling		major lacerations	male		
3	3	1929	injured	SA	adrossan beach	-34.41666667	137.9166667	wobbegong		unprovoked	1	unmotorised boating	leg		male	12	
3	3	1929	injured	SA	adrossan beach	-34.41666667	137.9166667	wobbegong		unprovoked	1	unmotorised boating	foot		male	12	
12	3	1929	fatal	QLD	"torres strait, dauan island"	-9.416666667	142.5333333	tiger shark		unprovoked		swimming			male		
16	4	1929	injured	QLD	mackay	-21	149.8833333	tiger shark		provoked	1	snorkelling	"arm, hand"	major lacerations	male		
11	4	1929	injured	QLD	"bribie passage, pumicestone channel"	-26.98333333	153.0666667	bull shark	1.5	provoked	1	fishing	leg	major lacerations	male	21	
9	4	1929	fatal	QLD	"torres strait, badu island"	-10.11666667	142.1333333	tiger shark		unprovoked		swimming	thigh	major lacerations	male		1200
31	5	1929	injured	QLD	"torres strait, coconut island"	-10.05	143.0666667	tiger shark		provoked	1	snorkelling	"leg, pelvic region"	major lacerations	male		
21	9	1929	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked	1	spearfishing	leg	major lacerations	male		
1	9	1929	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked		swimming	leg	major lacerations	male	42	
20	10	1929	injured	QLD	"torres strait, badu island"	-10.11666667	142.1333333	tiger shark		unprovoked		swimming	foot	major lacerations	male		
3	12	1929	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked		swimming	"torso, leg"	major lacerations	male	50	
16	12	1929	injured	NSW	"collaroy beach, sydney"	-33.71666667	151.3	wobbegong		unprovoked	1	swimming	leg	minor lacerations	female	17	
26	12	1929	fatal	NSW	"balmain, white bay, sydney harbour"	-33.85	151.1833333	bull shark		unprovoked	1	swimming	"arm, leg, pelvic region"	major lacerations	male	16	
13	12	1929	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked		swimming	"arm, torso"	major lacerations	male		
23	12	1929	uninjured	QLD	coolangatta beach	-28.16666667	153.5333333			unprovoked	1	swimming	other: uninjured		male		
1	1	1930	injured	QLD	"torres strait, moa island"	-10.15	142.1833333	tiger shark		provoked	1	spearfishing	arm	major lacerations	male		
15	2	1930	fatal	VIC	"port philip bay, middle brighton pier"	-37.9	144.9833333	white shark	5.0	unprovoked	1	swimming	other: body not recovered		male	19	1630
20	2	1930	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked		swimming	"arm, torso"	major lacerations	male		
4	6	1930	fatal	QLD	"torres strait, mabuiag island"	-9.95	142.1833333	tiger shark		unprovoked		swimming			male		
1	7	1930	fatal	QLD	"torres strait, badu island"	-10.25	142.1	tiger shark		provoked		snorkelling			male	16	
31	8	1930	injured	WA	geraldton	-28.76666667	114.6	wobbegong	0.6	provoked	1	fishing	leg	other: teeth marks	male		
25	12	1930	injured	NSW	"homebush bay, parramatta river, sydney"	-33.83333333	151.0666667	bull shark		unprovoked	1	swimming	torso	abrasion	male	49	
10	1	1931	injured	NSW	"spit bridge, middle harbour sydney"	-33.8	151.2333333	wobbegong		provoked	1	fishing	foot	minor lacerations	male		
7	1	1931	injured	QLD	yeppoon	-23.11666667	150.7333333	tiger shark	1.5	unprovoked	1	swimming	torso	minor lacerations	male	18	1600
14	1	1931	injured	QLD	torres strait	-10.58333333	142.2166667	tiger shark		provoked		snorkelling	"leg, pelvic region"	major lacerations	male		
24	1	1931	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked	1	snorkelling			male		
22	3	1931	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		provoked	1	swimming	thigh	major lacerations	male	19	
26	11	1931	injured	QLD	innisfail	-17.53333333	146.0166667	tiger shark	4.0	provoked	1	snorkelling	leg	major lacerations	male		
27	1	1932	injured	QLD	"brisbane river, bremer river"	-27.6	152.7666667	bull shark		unprovoked	1	swimming	thigh	minor lacerations	male		
13	2	1932	injured	QLD	calliope river	-23.83333333	151.2166667	bull shark		provoked	1	fishing	foot	minor lacerations	male		
24	2	1932	injured	NSW	bellambi jetty	-34.36666667	150.9166667	wobbegong		provoked	1	fishing	foot	minor lacerations	male		
1	5	1932	injured	QLD	cairns	-16.91666667	145.7666667	tiger shark		provoked		snorkelling	arm	major lacerations	male		
12	5	1932	fatal	QLD	"torres strait, warrior reef"	-9.4	142.6666667	tiger shark		unprovoked		swimming			male		
9	8	1932	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked		swimming	"leg, pelvic region"	major lacerations	male		
31	10	1932	injured	NSW	"redhead beach, newcastle"	-33	151.7166667	white shark	4.0	unprovoked	1	swimming	torso	minor lacerations	male	24	1100
9	12	1932	injured	NT	arnhem land (coastal area)	-11.93333333	132.6166667	tiger shark		unprovoked		swimming	leg	major lacerations	male		
4	1	1933	fatal	QLD	"townsville, strand beach"	-19.25	146.8166667	tiger shark		unprovoked	1	swimming	torso	major lacerations	male	38	
7	2	1933	uninjured	WA	"swan river, pelican rock"	-31.96666667	115.85	bull shark	2.1	provoked	1	fishing	other: uninjured		male		
15	2	1933	injured	QLD	"barrow point, 100km north of cooktown"	-14.15	144.5	tiger shark	4.2	provoked	1	snorkelling	"arm, shoulder"	major lacerations	male		
31	3	1933	injured	QLD	mackay (50 miles off - gbr)	-20.96666667	149.75	tiger shark	2.1	provoked	1	snorkelling	leg	major lacerations	male		
27	6	1933	uninjured	NT	"darwin, fanny bay"	-12.45	130.8333333			provoked	1	fishing	other: uninjured		male		
12	6	1933	injured	QLD	"currumbin creek, currumbin"	-28.13333333	153.4666667	bull shark		unprovoked	1	swimming	leg	abrasion	male		
3	7	1933	uninjured	WA	broome	-17.96666667	122.1666667	tiger shark		provoked	1	diving	other: uninjured		male		
5	9	1933	fatal	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked	1	snorkelling	thigh	major lacerations	male		
18	10	1933	injured	QLD	"barrow point, 100 km north of cooktown"	-14.15	144.5	tiger shark		provoked	1	snorkelling	"arm, hand"	major lacerations	male	17	
1	10	1933	injured	NSW	evans head	-29.1	153.4333333	wobbegong		provoked	1	swimming	foot	minor lacerations	male		
27	1	1934	injured	NSW	"georges river,"	-33.98333333	151.0666667	bull shark	3.0	unprovoked	1	swimming	"arm, torso"	minor lacerations	male	15	
7	1	1934	injured	NSW	"queenscliff beach, sydney"	-33.78333333	151.2833333	white shark	4.0	unprovoked	1	swimming	leg	major lacerations	male	22	1500
1	1	1934	uninjured	QLD	"gloucester island, bowen"	-20	148.45	tiger shark		provoked	1	snorkelling	other: uninjured		male		
24	2	1934	injured	QLD	"torres strait, adolphus channel "	-10.6	142.6166667	tiger shark	2.8	provoked	2	spearfishing	thigh	abrasion	male		
12	3	1934	fatal	NSW	"dee why beach, sydney"	-33.75	151.3	white shark	4.0	unprovoked	1	swimming	"leg, pelvic region"	major lacerations	male	17	1500
15	4	1934	injured	QLD	"currumbin beach, gold coast"	-28.15	153.4833333	tiger shark	2.0	unprovoked	1	swimming	calf	minor lacerations	male	34	0920
1	4	1934	fatal	NSW	"manly, north steyne, sydney"	-33.78333333	151.2833333	white shark	3.5	unprovoked	1	swimming	"leg, torso"	major lacerations	male	16	1230
26	8	1934	fatal	QLD	"cardwell, off eva island"	-18.23333333	146.3166667	tiger shark		unprovoked	3	swimming	torso		male		
2	10	1934	fatal	QLD	"torres strait, warrior reef"	-9.966666667	143.2666667	tiger shark		provoked		snorkelling	arm	major lacerations	male		
9	10	1934	fatal	NT	"red cliff, cobourg peninsula"	-11.66666667	132.5166667	tiger shark	4.5	unprovoked	1	swimming	"arm, torso, thigh"	major lacerations	female		
31	12	1934	injured	NSW	"georges river, milpera, sydney"	-33.95	151.9666667	bull shark	3.6	unprovoked	1	swimming	arm	major lacerations	female	13	2000
31	12	1934	fatal	NSW	"georges river, milperra bridge"	-33.93333333	150.9666667	bull shark	3.6	unprovoked	1	swimming	calf	major lacerations	male	20	1630
23	12	1934	fatal	NSW	"brisbane waters, woy woy"	-33.48333333	151.3	bull shark		unprovoked	1	swimming	torso		male	14	1300
23	12	1934	injured	NSW	"brisbane waters, woy woy"	-33.48333333	151.3	bull shark		unprovoked	1	swimming	leg	abrasion	female	12	1300
1	1	1935	fatal	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked		swimming			male		
14	2	1935	injured	NSW	"austinmer beach, wollongong"	-34.3	150.9333333	white shark		unprovoked	1	boarding	thigh	minor lacerations	male	20	1730
9	3	1935	fatal	NSW	"maroubra beach, sydney"	-33.93333333	151.25	white shark	4.2	unprovoked	1	swimming	"arm, torso, pelvic region"	major lacerations	male		1230
30	3	1935	injured	QLD	mackay (100 mile south)	-21.16666667	149.2333333	whaler shark		unprovoked	1	snorkelling	"leg, pelvic region"	other: teeth marks	male		
18	3	1935	injured	QLD	lizard island	-14.66666667	145.45	tiger shark	3.2	provoked	1	snorkelling	"hand, thigh"	major lacerations	male		
2	3	1935	fatal	NSW	"north narrabeen, sydney"	-33.7	151.3	white shark	4.2	unprovoked	1	swimming	thigh	major lacerations	male	22	1730
12	5	1935	injured	QLD	"torres strait, warrior reef"	-9.4	142.6666667	whaler shark		provoked		snorkelling	"arm, hand"	minor lacerations	male		
13	8	1935	fatal	QLD	"torres strait, yule entrance"	-9.4	142.6666667	tiger shark		provoked	1	snorkelling	thigh	major lacerations	male		
13	11	1935	injured	QLD	innisfail (near)	-17.53333333	146.0166667	tiger shark		provoked	1	snorkelling	"arm, shoulder"	minor lacerations	male		
1	1	1936	uninjured	NSW	"bondi beach north, sydney"	-33.88333333	151.2666667	white shark	3.5	provoked	1	boarding	other: uninjured		male		
1	1	1936	injured	WA	"depuch island, cossack creek, dampier"	-20.66666667	117.1833333	tiger shark		provoked	1	snorkelling	leg	major lacerations	male		
22	1	1936	fatal	SA	"west beach, adelaide"	-34.9	137	white shark		unprovoked	1	swimming	torso		male	16	1800
4	2	1936	fatal	NSW	"manly, south steyne,  sydney"	-33.78333333	151.2833333	white shark	6.0	unprovoked	1	swimming	other: body not recovered		male	14	1500
19	2	1936	uninjured	QLD	brisbane river	-27.43333333	153.0833333	bull shark	3.1	unprovoked	1	unmotorised boating	other: uninjured		male		
29	3	1936	injured	QLD	cape direction	-12.78333333	143.6	tiger shark		provoked	1	snorkelling	arm	major lacerations	male		
19	3	1936	injured	QLD	forbes island	-12.16666667	143.3833333	whaler shark		unprovoked		swimming	"arm, hand"	minor lacerations	male		
21	4	1936	injured	QLD	"arlington reef, green island"	-16.7	146.05	tiger shark	4.0	provoked	1	snorkelling	"arm, torso, foot"	major lacerations	male	16	
28	5	1936	injured	QLD	mackay reef (area)	-20.81666667	149.4833333			provoked		snorkelling	leg	major lacerations	male		
26	6	1936	fatal	QLD	"torres strait, nepean island "	-10.6	142.2166667	tiger shark		provoked	1	snorkelling	torso	major lacerations	male	16	
4	7	1936	injured	QLD	mackay (reef area)	-20.81666667	149.4833333	tiger shark		provoked	1	snorkelling	torso	major lacerations	male		
24	8	1936	injured	QLD	"torres strait, mabuiag island"	-9.95	142.1833333	whaler shark		provoked		snorkelling	foot	other: teeth marks	male		
20	11	1936	injured	WA	rottnest island	-31.98333333	115.5333333	wobbegong		provoked	1	swimming	leg	minor lacerations	male		
19	11	1936	injured	NSW	"botany bay, brighton-le-sands"	-33.95	151.15	wobbegong	1.2	unprovoked	1	swimming	foot	minor lacerations	male	16	
12	12	1936	fatal	NSW	"throsby creek, newcastle"	-32.9	151.75	bull shark	3.0	unprovoked	1	swimming	leg	major lacerations	male	16	1130
1	1	1937	injured	QLD	torres strait	-10.58333333	142.2166667	tiger shark		unprovoked		swimming		major lacerations	male		
13	2	1937	fatal	NSW	"bar beach, newcastle"	-32.93333333	151.75	white shark		unprovoked	1	swimming	"torso, leg"	major lacerations	male	32	
11	2	1937	injured	NSW	smoky cape lighthouse	-30.91666667	153.0833333	wobbegong		unprovoked	1	swimming	foot	minor lacerations	male		
15	5	1937	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked		swimming	"leg, hand"	major lacerations	male	33	
31	8	1937	injured	QLD	"torres strait, mabuiag island"	-9.95	142.1833333	tiger shark		provoked	1	snorkelling	head	major lacerations	male		
24	10	1937	injured	NSW	byron bay beach	-28.63333333	153.6166667	white shark	3.0	unprovoked	1	swimming	torso	other: teeth marks	male	16	
27	10	1937	fatal	QLD	"kirra beach, coolangatta"	-28.16666667	153.5166667	tiger shark	4.6	unprovoked	1	swimming	"arm, torso, leg"	major lacerations	male	18	1715
27	10	1937	fatal	QLD	"kirra beach, coolangatta"	-28.16666667	153.5166667	tiger shark	4.6	unprovoked	1	swimming	torso	major lacerations	male	18	1715
20	11	1937	injured	QLD	"fitzroy river, rockhampton"	-23.38333333	150.5166667	bull shark		unprovoked	1	swimming	leg	abrasion	male		
11	11	1937	injured	QLD	hinchinbrook channel	-18.53333333	146.2333333	tiger shark		provoked	1	snorkelling	"calf, foot"	major lacerations	male	17	
1	1	1938	injured	QLD	brook island nr townsville	-18.13333333	146.25	tiger shark	2.7	provoked	1	fishing	thigh	major lacerations	male		
14	1	1938	injured	NSW	"lady martins beach, sydney harbour"	-33.85	151.25	bull shark	1.7	provoked	1	swimming	"leg, foot"	major lacerations	male	24	
2	1	1938	uninjured	NSW	"cronulla beach, sydney"	-34.03333333	151.15	white shark	3.6	unprovoked	1	boarding	other: uninjured		male		
8	3	1938	injured	NT	liverpool river	-12.03333333	134.2	whaler shark		unprovoked	1	unmotorised boating	leg	major lacerations	male		
11	6	1938	fatal	QLD	thursday island area (unknown location)	-10.56666667	142.1666667			provoked		diving	other: body not recovered		male		
10	7	1938	fatal	NT	bathurst island	-11.4	130.4	whaler shark		provoked		diving	other: body not recovered		male		
11	10	1938	injured	QLD	"moreton bay, wynnum"	-27.43333333	153.1666667	tiger shark	1.8	provoked	1	fishing	foot	minor lacerations	male		
14	11	1938	injured	QLD	"cribb island, brisbane"	-27.35	153.1166667	wobbegong	1.2	provoked	1	swimming	foot	other: teeth marks	male		
12	1	1939	uninjured	NSW	"yamba, clarence river"	-29.41666667	152.3333333	bull shark	2.1	provoked	1	fishing	other: uninjured		male	11	
25	9	1939	injured	QLD	"torres strait, mabuig island"	-9.95	142.1666667	tiger shark		provoked	1	snorkelling	leg	major lacerations	male	17	
1	10	1939	injured	QLD	"double island beach, cairns"	-16.71666667	154.6833333			unprovoked	1	swimming	foot	major lacerations	male		
24	10	1939	injured	QLD	"restoration rock, portland road"	-12.61666667	143.45	tiger shark	4.3	provoked	1	snorkelling	thigh	major lacerations	male	27	
28	12	1939	injured	NSW	georges river	-33.98333333	151.0666667	bull shark	1.8	unprovoked	1	swimming	leg	surface wound	male	40	
14	12	1939	fatal	QLD	"mackay, rubbish dump creek, pioneer river"	-21.16666667	149.2333333	bull shark	2.6	unprovoked	1	swimming	"leg, foot"	major lacerations	male	20	1215
1	1	1940	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked	1	snorkelling	head	major lacerations	male		
30	1	1940	injured	QLD	"brisbane river, dutton park"	-27.48333333	153.0166667	bull shark		unprovoked	1	swimming	"torso, shoulder"	minor lacerations	male	17	
15	1	1940	injured	QLD	"southport, surfers paradise"	-28	153.4166667	tiger shark		unprovoked	1	swimming	"arm, torso"	minor lacerations	male	22	
23	1	1940	fatal	NSW	"botany bay, brighton-le-sands"	-33.95	151.15	tiger shark	3.1	unprovoked	1	swimming	"torso, leg"	major lacerations	male	13	1040
4	2	1940	fatal	NSW	"botany bay, brighton-le-sands"	-33.95	151.15	bull shark		unprovoked	1	swimming	arm	major lacerations	male	55	1400
20	3	1940	injured	NSW	"gerringong, wollongong"	-34.73333333	150.8333333	wobbegong		provoked	1	snorkelling	foot	minor lacerations	male		
28	5	1940	injured	QLD	mackay	-21.4	150.5333333	tiger shark		unprovoked	1	swimming		minor lacerations	male	56	
28	12	1940	fatal	NSW	"stockton beach, newcastle"	-32.85	151.8333333	tiger shark		unprovoked	1	swimming	torso	major lacerations	male	23	0900
8	10	1941	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked	1	swimming			male		
15	10	1941	fatal	QLD	"torres strait, badu island"	-10.11666667	142.1333333	tiger shark		unprovoked	1	swimming			male		
19	11	1941	injured	WA	off carnarvon	-26.46666667	110.2666667			unprovoked	1	swimming	leg	minor lacerations	male		
5	12	1941	injured	WA	"the facine, carnarvon"	-24.88333333	113.65	bull shark		unprovoked	1	swimming	foot	major lacerations	male		
4	1	1942	fatal	NSW	"bantry bay, sydney harbour"	-33.76666667	151.2166667	bull shark	4.0	unprovoked	1	swimming	torso	major lacerations	female	28	1500
18	1	1942	uninjured	NSW	"manly, fairy bower, sydney"	-33.78333333	151.2833333	white shark	3.0	provoked	1	boarding	other: uninjured		male		
9	5	1942	injured	QLD	cairns (reef 160km south)	-17.7	146.5166667	tiger shark	2.1	provoked	1	snorkelling	arm	major lacerations	male		
4	8	1942	injured	QLD	"hook island, whitsunday islands"	-20.08333333	148.8833333			provoked	1	snorkelling	leg	major lacerations	male		
12	9	1942	injured	QLD	"trinity beach, cairns"	-16.78333333	145.7	tiger shark	3.0	unprovoked	1	swimming	leg	major lacerations	male	24	1630
26	12	1942	fatal	NSW	"bantry bay, sydney harbour"	-33.76666667	151.2166667	bull shark		unprovoked	1	swimming	leg	major lacerations	female	15	1050
1	1	1943	injured	NT	darwin	-12.46666667	130.8333333	tiger shark		unprovoked	1	swimming	torso	minor lacerations	male		
14	1	1944	injured	NSW	"forster, first beach"	-32.16666667	152.5166667	white shark		unprovoked	1	boarding	leg	major lacerations	male	14	
7	2	1945	injured	NSW	malabar bay	-33.95	151.25	wobbegong	1.3	provoked	1	fishing	"arm, hand"	minor lacerations	male	24	
15	6	1945	fatal	QLD	"trinity beach, double island, cairns"	-16.71666667	145.6666667	tiger shark		unprovoked	1	swimming			male		1600
17	1	1946	injured	QLD	townsville	-19.25	146.8166667			unprovoked	1	swimming	foot	minor lacerations	male	12	
5	1	1946	fatal	NSW	"georges river, oatley bay, sydney"	-33.98333333	151.0833333	bull shark		unprovoked	1	swimming	leg	major lacerations	female	14	
